name,make_name,logo
BAW,BAW,
VOLVO,VOLVO,
MAXUS,MAXUS,
SUBARU,SUBARU,
TOYOTA,TOYOTA,
BYD,BYD,
JAC,JAC,
FOTON,FOTON,
CHERY,CHERY,
MG,MG,
VOLKSWAGEN,VOLKSWAGEN,
BESTUNE,BESTUNE,
MERCEDES BENZ,MERCEDES BENZ,
LEXUS,LEXUS,
RAM,RAM,
DENZA,DENZA,
CHRYSLER,CHRYSLER,
HINO,HINO,
JAECOO,JAECOO,
VINFAST,VINFAST,
SERES 5,SERES 5,
PORSCHE,PORSCHE,
JEEP,JEEP,
GWM,GWM,
CADILLAC,CADILLAC,
DODGE,DODGE,
AUDI,AUDI,
MASERATI,MASERATI,
CHANGHE,CHANGHE,
JEEPNEY,JEEPNEY,
TAKE OUT,TAKE OUT,
VINGROUP,VINGROUP,
SEAT,SEAT,
TESLA,TESLA,
LAND ROVER,LAND ROVER,
DONG FENG,DONG FENG,
HONGQI,HONGQI,
GEELY,GEELY,
HAIMA,HAIMA,
MORRIS GARAGE,MORRIS GARAGE,
JETOUR,JETOUR,
SSANGYONG,SSANGYONG,
PEUGEOT,PEUGEOT,
ISUZU,ISUZU,
FORD,FORD,
MITSUBISHI,MITSUBISHI,
JMC,JMC,
CHEVROLET,CHEVROLET,
CHANGAN,CHANGAN,
BAIC,BAIC,
MAHINDRA,MAHINDRA,
MAZDA,MAZDA,
HYUNDAI,HYUNDAI,
KIA,KIA,
HONDA,HONDA,
GAC,GAC,
SUZUKI,SUZUKI,
NISSAN,NISSAN,
Mercedes-Benz,Mercedes-Benz,
BMW,BMW,
Subaru,Subaru,
Suzuki,Suzuki,
Kia,Kia,
Mazda,Mazda,
Isuzu,Isuzu,
Hyundai,Hyundai,
Nissan,Nissan,
Ford,Ford,
Mitsubishi,Mitsubishi,
Honda,Honda,
Toyota,Toyota,
