name,make,model_name,category
Isuzu-mu-X,Isuzu,mu-X,SUV
Isuzu-D-Max,Isuzu,D-Max,Pickup
Nissan-Almera,Nissan,Almera,Sedan
Nissan-Terra,Nissan,Terra,SUV
Nissan-Navara,Nissan,Navara,Pickup
Ford-Territory,Ford,Territory,SUV
Ford-Everest,Ford,Everest,SUV
Ford-Ranger,Ford,Ranger,Pickup
Mitsubishi-Mirage G4,Mitsubishi,Mirage G4,Sedan
Mitsubishi-Xpander,Mitsubishi,Xpander,Van
Mitsubishi-Strada / Triton,Mitsubishi,Strada / Triton,Pickup
Mitsubishi-Montero Sport,Mitsubishi,Montero Sport,SUV
Honda-HR-V,Honda,HR-V,SUV
Honda-CR-V,Honda,CR-V,SUV
Honda-City,Honda,City,Sedan
Honda-Civic,Honda,Civic,Sedan
Toyota-Corolla Cross,Toyota,Corolla Cross,SUV
Toyota-Innova,Toyota,Innova,Van
Toyota-Hilux,Toyota,Hilux,Pickup
Toyota-Fortuner,Toyota,Fortuner,SUV
Toyota-Vios,Toyota,Vios,Sedan
