login OK

=== Customer: 39466 records ===
  progress 2000/39466 ok=0 dup=0 link=0 err=2000
  progress 4000/39466 ok=0 dup=0 link=0 err=4000
  progress 6000/39466 ok=0 dup=0 link=0 err=6000
  progress 8000/39466 ok=0 dup=0 link=0 err=8000
  progress 10000/39466 ok=0 dup=0 link=0 err=10000
  progress 12000/39466 ok=0 dup=0 link=0 err=12000
  progress 14000/39466 ok=0 dup=0 link=0 err=14000
  progress 16000/39466 ok=0 dup=0 link=0 err=16000
  progress 18000/39466 ok=0 dup=0 link=0 err=18000
  progress 20000/39466 ok=0 dup=0 link=0 err=20000
  progress 22000/39466 ok=0 dup=0 link=0 err=22000
  progress 24000/39466 ok=0 dup=0 link=0 err=24000
