"Date","Deposit","Withdrawal","Bank Account","Company","Reference Number","Description"
"2026-09-20",35000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","DEP-2026-005","Corporate Fleet Service Payment"
"2026-09-15",0.0,1500.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","FEE-2026-004","Monthly Bank Maintenance Fee"
"2026-09-12",5000.0,0.0,"RCBC - RCBC","Ultra MRF Dau Annex","",""
"2026-09-10",25000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","BDO-REF-9905","FLEET SERVICE SETTLEMENT"
"2026-09-10",5000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","CHECK-BDO-98421","ONLINE TRANSFER INWARD - CHECK-BDO-98421"
"2026-09-10",5000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","CHECK-BDO-98421","ONLINE TRANSFER INWARD - CHECK-BDO-98421"
"2026-09-10",22000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","DEP-2026-003","Check Clearing Collection"
"2026-09-09",0.0,1200.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","BDO-REF-9904","BANK SERVICE CHARGE"
"2026-09-07",8200.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","BDO-REF-9903","CHECK DEPOSIT CLEARING 4410"
"2026-09-05",0.0,4500.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","CHQ-2026-002","Supplier Payment Auto-Debit"
"2026-09-04",0.0,3500.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","BDO-REF-9902","SUPPLIER AUTO DEBIT PARTS"
"2026-09-02",15000.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","DEP-2026-001","Customer Direct Deposit Ref 001"
"2026-09-02",12500.0,0.0,"Automan Operating Account - BDO Unibank, Inc.","Automan Car Care Center","BDO-REF-9901","CUSTOMER ONLINE TRANSFER REF 9901"
